#,Question,Answer ,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10
19,what is the difference between this nmos model with the one we learned last lecture?,this adds some resistance and capacitance to your model and makes it more realistic,01/20/2022 15:54:23,01/20/2022 16:01:46
20,Can you/How do you derive Vth from the model on the right?,live answered,01/20/2022 15:54:48,01/20/2022 15:55:39
21,How does the resistor in the model represent the left model again?,because the Silicon is somewhat resistive. Meaning electrons need to travel through it to get to drain from source,01/20/2022 15:55:03,01/20/2022 15:55:48
22,"Could you please re-explain how increasing gate voltage ""forces"" the creation of a channel?",I have the same question,01/20/2022 15:55:13,01/20/2022 15:56:27,it creates a larger voltage differential,01/20/2022 15:55:13,01/20/2022 15:58:01
23,What’s the purpose of the resistor in the model again?,"if there was just a capacitor, then you would only be able to send decreasing current until the capacitor fills — it wouldn’t be a good model",01/20/2022 15:55:18,01/20/2022 16:08:51
24,Where did the resistor and switch come from?,models natural resistance of gate and switching behavior that’s the whole reason we use the transistor,01/20/2022 15:55:21,01/20/2022 16:49:36
25,Does the resistance change linearly after the VGS is beyond Vthreshold?,"I believe the answer is nonlinearly, but this is out of scope",01/20/2022 15:55:29,01/20/2022 16:07:53
26,could the part about the switch be repeated,,01/20/2022 15:55:50
27,In OH I learned that the capacitance betwen gate and source was because of the air between gate and source but what was just explained had to do with the electrons being heavily on the source side. How do these explanations fit together?,In OH I learned that the capacitance betwen gate and source was because of the air between gate and source but what was just explained had to do with the electrons being heavily on the source side. How do these explanations fit together?,01/20/2022 15:56:04,01/20/2022 15:56:04
28,does the increase in electrons reduce or increase restivity in the model?,"stays constant up to a point, then decreases",01/20/2022 15:56:11,01/20/2022 16:05:36
29,So is Ron just an unwanted internal resistance?,"yes, but unavoidable",01/20/2022 15:56:34,01/20/2022 16:03:15
30,How do we measure the resistance in the channel?,I believe it depends on the number of electrons in the channel.,01/20/2022 15:56:44,01/20/2022 15:58:32
31,What causes the on-off part of the model behavior? Shouldn’t there always be at least some current running through the circuit?,I think there is a required voltage for a channel to form (overcoming the dispersion effect),01/20/2022 15:57:03,01/20/2022 15:58:03
32,"As voltage increases between G and S, what happens to resistance between S and D","stays constant up to a point, then decreases",01/20/2022 15:57:59,01/20/2022 16:05:45
33,where is v_gs located?,V_(GS) = V_G - V_S,01/20/2022 15:58:05,01/20/2022 15:58:29
34,"In OH I learned that the capacitance betwen gate and source was because of the air between gate and source but what was just explained had to do with the electrons being heavily on the source side. How do these explanations fit together? (sorry for asking twice, I accidentally left the call so I couldn't see the answer)","In OH I learned that the capacitance betwen gate and source was because of the air between gate and source but what was just explained had to do with the electrons being heavily on the source side. How do these explanations fit together? (sorry for asking twice, I accidentally left the call so I couldn't see the answer)",01/20/2022 15:58:26,01/20/2022 15:58:26,"i’m not quite sure why these two answers conflict. if you want a more in depth discussion you might want to go to office hours, because this can get very out of scope very fast :(",01/20/2022 15:58:26,01/20/2022 16:29:53
35,To increase the amount of electrons in the channel could we increase the voltage at the gate or decrease the voltage at source? Do these have the same effect?,"yes, the current is related to the voltage differential V_GS",01/20/2022 15:59:24,01/20/2022 16:00:33
36,what does RC stand for?,resistor-capacitor i think?,01/20/2022 16:04:13,01/20/2022 16:04:25,yes,01/20/2022 16:04:13,01/20/2022 16:05:51
37,was attending the wednesday discussions section required?,it counted towards your discussion attendance grade,01/20/2022 16:06:15,01/20/2022 16:07:11,is there a check off form i can fill for credit by watching the recording?,01/20/2022 16:06:15,01/20/2022 16:09:28,not 100% sure — ask on piazza,01/20/2022 16:06:15,01/20/2022 16:12:36
38,How did we get that I2 = C (dV/dt),"Q = CV, taking derivative on both sides and using that I = dV/dT",01/20/2022 16:08:25,01/20/2022 16:09:21,Thank you!,01/20/2022 16:08:25,01/20/2022 16:10:18
39,I don't understand why there are two currents for the circuit he drew. Could someone explain this? Is it because no current goes through the capacitor?,"Both are referring to the same flow of charge, but I1 and I2 are opposites because they represent currents going in opposite directions.",01/20/2022 16:09:17,01/20/2022 16:10:50,"yes, exactly this ^",01/20/2022 16:09:17,01/20/2022 16:11:20,So you could do this on any wire? Have two currents labeled on one wire that sum up to 0 but are the same flow of charge?,01/20/2022 16:09:17,01/20/2022 16:11:56,yes,01/20/2022 16:09:17,01/20/2022 16:12:12
40,Would separation of variables work for most RC circuits we see?,"probably — however there are conditions that are needed to verify that separation of variables work, which may not be easy for more complicated RC circuits. on the other hand we can prove systematically that the solutions we will use are exist + unique",01/20/2022 16:09:22,01/20/2022 16:11:12
41,can someone explain again how we guessed that it is an exponential function?,"d/dt a*e^(bt) = ab e^(bt), basically derivative is proportional to function itself which is what we want",01/20/2022 16:09:34,01/20/2022 16:10:09
42,Would the regular separation of variables approach work for this particular ODE?,"yes, try it yourself",01/20/2022 16:12:15,01/20/2022 16:13:05
43,"During tests/hw, do we have to prove uniqueness if the equation is in this form?","we will prove in a homework that all solutions to such diffeqs are unique, from then on we can take it as a fact as we have proved it before",01/20/2022 16:13:01,01/20/2022 16:13:29
44,Can you explain again why we can write ab*e^(bt) = bV_x(t),V_x(t) = a e^(bt),01/20/2022 16:13:40,01/20/2022 16:13:59
45,why is there no t - 1 in the numerator after the derivative,in the exponent*,01/20/2022 16:13:48,01/20/2022 16:14:13,"d/dt e^(at) = a e^(at), this isn’t a polynomial",01/20/2022 16:13:48,01/20/2022 16:14:28,oh yeah haha,01/20/2022 16:13:48,01/20/2022 16:14:43,ty,01/20/2022 16:13:48,01/20/2022 16:14:47
46,Why do we choose to guess and check instead of solving the ODE as a separable differential equation?,"separation doesn’t always work and there needs to be some conditions on the functions that work. in fact it may mislead you into thinking some solutions work but actually when you plug it in, it’s not valid :(",01/20/2022 16:14:24,01/20/2022 16:15:21
47,How did we go from the differential equation to the a*e^bt equation?,we plug in the function V_x(t) = ae^(bt) into the differential equation,01/20/2022 16:14:31,01/20/2022 16:15:47
48,Is this possible to do with integration?,"if we solve by guessing and checking, then no integration is needed. but you can solve differential equations by integration techniques",01/20/2022 16:15:17,01/20/2022 16:16:23
49,Logistical question: When will the discussion section signups be released?,"There aren’t any signups, you just go to whichever one you want (granted there is space).",01/20/2022 16:15:20,01/20/2022 16:15:58,"You can attend any you want, one on Monday and one on Wednesday",01/20/2022 16:15:20,01/20/2022 16:15:59
50,Are we expected to know how to solve more forms of DE’s in this class or just the first-order DE’s?,"you don’t need to know anything in advance — the first order DEs are the most useful, but we will introduce some more diffeqs as the class goes on",01/20/2022 16:16:05,01/20/2022 16:16:55
51,Why do we assume that the original diff equation is an exponential function?,"because we recognize: hey this diffeq says x’ is proportional to x, exponential functions have x’ is proportional to x, why not just put in exponential",01/20/2022 16:16:13,01/20/2022 16:17:51
52,Would it be possible for future lectures to enable Captions and live transcript?,"we will enable it for future lectures, sorry about it",01/20/2022 16:16:19,01/20/2022 16:17:11,Thank you!,01/20/2022 16:16:19,01/20/2022 16:18:41
53,Tips on how to self study circuits etc that wasn’t covered in 54? Ideally besides reading all the 16a notes :),The final review sessions for 16a go at a good pace and have a bunch of problems.,01/20/2022 16:16:29,01/20/2022 16:18:08,I’ve been told learning through an EE textbook is a good idea.Last semester I used the Ochem Tutor’s EE series to learn some concepts though not all are 16a material.  If you want more practical examples then 16a has built-in practice problems.,01/20/2022 16:16:29,01/20/2022 16:18:09
54,Why can we assume RC > 1?(and thus Vx(t) decreases with time)?,Nvm,01/20/2022 16:17:52,01/20/2022 16:18:22,"RC > 0 so -1/RC < 0, so V_x decreases with time",01/20/2022 16:17:52,01/20/2022 16:18:59,Yup thanks!,01/20/2022 16:17:52,01/20/2022 16:21:32
55,How was the equality in the green box derived?,"we know that if x(t) = ae^(bt) then x’(t) = bx(t), in this case we have V_x’(t) = -1/RC * V_x(t), pattern matching gets b = -1/RC",01/20/2022 16:18:10,01/20/2022 16:21:55
56,How did he know that b = -1/RC,"we know that if x(t) = ae^(bt) then x’(t) = bx(t), in this case we have V_x’(t) = -1/RC * V_x(t), pattern matching gets b = -1/RC",01/20/2022 16:18:43,01/20/2022 16:20:57
57,Why do we introduce tau?,"it’s a new notation we introduce meaning “time constant”, and it has some physical interpretation as a decay rate of the voltage function",01/20/2022 16:18:50,01/20/2022 16:21:35
58,Can’t we also integrate dVx/Vx = -dt/RC to get the equation in yellow?,"it was mentioned already — separation of variables has some extra conditions that you need to show in order for it to work properly, otherwise it won’t find any/all of the solutions. in thsi case it works properly but we can’t know that for sure",01/20/2022 16:19:06,01/20/2022 16:20:13
59,what is D.E. ?,Differential Equation,01/20/2022 16:20:55,01/20/2022 16:21:21
60,what is the word before DE,solves,01/20/2022 16:21:47,01/20/2022 16:22:09
61,why do we need to make sure the solution is unique,"otherwise our physical system could have multiple different behaviors, and it would be very hard to analyze this",01/20/2022 16:22:26,01/20/2022 16:22:54
62,what does the d mean in xd(t)?,"nothing — you can think of this as a reference function, it’s just a notation we pick for some reason",01/20/2022 16:22:34,01/20/2022 16:23:28,does it mean the same as x(t) or is it an additional notation for x(t) (meaning something additional)?,01/20/2022 16:22:34,01/20/2022 16:24:05
63,what is xd(t),x_d(t) = x_0 e^(lambda t),01/20/2022 16:23:15,01/20/2022 16:23:38
64,is the d in xd(t) meaningful? why isn’t it x(t)?,"it doesn’t really stand for anything; we want to distinguish between our reference solution x_d(t), a general solution x(t) that’s used in the differential equation, and our solution we’re working with y(T)",01/20/2022 16:23:19,01/20/2022 16:24:35
65,What is DE?,differential equation,01/20/2022 16:24:12,01/20/2022 16:24:41
66,why do we differentiate?,"we want to show that derivative of y/x_d is 0, and we already know that y(0)/x_d(0) = 1, so this shows that y/x_d is 1 everywhere and we’re done",01/20/2022 16:24:54,01/20/2022 16:25:46
67,from a high level how is he proving uniqueness right now,show that y/x_d = 1 by showing y(0)/x_d(0) = 1 and (y/x_d)’ = 0,01/20/2022 16:25:36,01/20/2022 16:26:15
68,is there a reason for using the notation xd(t) not just x(t)?,"we’re just distinguishing between our reference solution x_d, and the general solution of the diffeq x",01/20/2022 16:25:38,01/20/2022 16:26:50
69,Does the professor have his own office hours?,"yes, after lecture (check calendar for zoom link)",01/20/2022 16:26:21,01/20/2022 16:27:44
70,Why do we add the derivative in the third to last line? Clarification on that point on would be great,product rule from calculus,01/20/2022 16:28:02,01/20/2022 16:28:33
71,what if x_0 = 0?,wait for homework! that’s when we introduce a way to deal with that,01/20/2022 16:28:15,01/20/2022 16:28:50
72,how do we know the diff is 0?,the line with * algebraically evaluates to 0,01/20/2022 16:28:23,01/20/2022 16:29:05
73,shouldn’t y(0) be aX0 because y(t) = aX(t)?,if a = 1 then these are the same,01/20/2022 16:29:23,01/20/2022 16:30:22
74,could the line with * be explained again,live answered,01/20/2022 16:29:42,01/20/2022 16:31:33
75,how do we know y0 = x0,because we have the initial condition z(0) = x0 which is part of the diffeq (like the diffeq is an equation about z’ and also an equation about z(0)),01/20/2022 16:30:11,01/20/2022 16:31:05
76,why is d/dt y(t) = lambda y(t),live answered,01/20/2022 16:30:57,01/20/2022 16:31:13
77,"What if x(0) = 0, then would we have zero in the denominator?","yes, wait for homework to deal with this case :)",01/20/2022 16:31:11,01/20/2022 16:31:26
78,sorry what’s the difference between xd and x?,x_d is a particular reference solution. we know its formula x_d(t) = x_0 e^(lambda t). x is just the variable we use in the diffeq,01/20/2022 16:31:49,01/20/2022 16:32:41
79,Is x(t) equal to xd(t)?,x(t) is just a function name we use when stating the diffeq,01/20/2022 16:32:27,01/20/2022 16:32:55
80,Why does this ratio equalling 1 prove uniqueness,"because this implies that x_d(t) = y(t) for all t, hence y = x_d",01/20/2022 16:32:46,01/20/2022 16:33:18
81,Don't we need to prove the uniqueness of the constant family of functions as solutions to dx/dt = 0?,"technically that is something we have to prove, yes — feel free to try it as an exercise :) but i think (differentiable + derivative 0 everywhere) <=> (constant) should be covered by calculus classes",01/20/2022 16:33:23,01/20/2022 16:35:05
82,Can we pick any type of initial condition? x(12) = x_12,or should it always be x(0) = x_0,01/20/2022 16:33:46,01/20/2022 16:34:32,you can pick any initial condition of that form. one thing you can do is make the change of variables z(t) = x(t - 12) and then you have a function z(0) = x_(12) and d/dt z(t) = lambda z(t) (by chain rule) which is a diffeq of the form we want,01/20/2022 16:33:46,01/20/2022 16:36:00
83,Will we need to fully understand this derivation for exams,"you will get drilled on this several times in hw, discussion, etc — it is in scope for exams",01/20/2022 16:35:08,01/20/2022 16:36:38
84,Are professor Stojanovic's office hours only the one after Thursday lectures?,"looks like it on course calendar, yeah",01/20/2022 16:35:32,01/20/2022 16:38:23
85,Are the invertors the NMOS transistors?,these are opamps,01/20/2022 16:35:38,01/20/2022 16:37:05,sorry they’re not — I was answering several questions at the same time and got a bit mixed up with my notes — sorry about that :(,01/20/2022 16:35:38,01/20/2022 16:41:09
86,in step (2) are we checking if a and b are unique or if our solution to Vx in general is unique? I'm confused how we got the derivative of y(t) = lambda * y(t),"not sure what you mean by step 2, but this equation: y’(t) = lambda y(t) is exactly the diffeq that y(t) must satisfy by assumption — since we say y(t) is solution to the diffeq",01/20/2022 16:35:56,01/20/2022 16:37:57,ohh is it because we already confirmed that Vx has to be in the form of ae^(bt)?,01/20/2022 16:35:56,01/20/2022 16:39:08,our proof with y was separate from the physical RC system.,01/20/2022 16:35:56,01/20/2022 16:41:51
87,How could we know the invertor also follow the rule of RC model?,"RC is just an approximation we use for reality; it’s not exact but it’s pretty close most of the time, so it’s generally empirically justified to use it",01/20/2022 16:38:02,01/20/2022 16:40:08
88,Are the inverse opamps CMOS transistors (since the professor replaced them)?,yes,01/20/2022 16:39:48,01/20/2022 16:41:26
89,Whats the difference between PMOS and NMOS?,"Coincidentally I made a list

NMOS:
- Vgs > Vtn == on (switch closed)
	- ie Vg >> Vs sufficiently.
- Vtn is a small positive treshold voltage.
- Charge carriers -> negative, electrons
- Source S is at bottom (makes CMOS easier to draw + related to physics of charge carriers)

PMOS:
- Vgs < - Vtp == on (switch closed)
	- ie Vg << Vs sufficiently 
- Vtn is a small negative treshold voltage.
- Note: Many use Vsg = -Vgs = Vs - Vg instread for PMOS.
- Charge carriers -> positive, ""holes""
- Source S is at top",01/20/2022 16:40:24,01/20/2022 16:41:08
90,I get why we can replace Vx with a capactiro but why can we add a Resistor in the the part of the circuit without a switch? Wouldn’t it affect Vout?,Perhaps.,01/20/2022 16:43:17,01/20/2022 16:44:12,i don’t see resistor without switch anywhere?,01/20/2022 16:43:17,01/20/2022 16:46:24,Oh sorry I’m assuming one of the two switches will end up closing and thus creating a wire. If that happened wouldnt Ron be inbetween VDD and Vx and thus affect Vx?,01/20/2022 16:43:17,01/20/2022 16:47:29
91,Where can we find class notes? (also the one from last lecture)?,16b website has relevant notes below each lecture topic,01/20/2022 16:43:17,01/20/2022 16:44:00,"I know, but I refer to class notes. Last lecture Ive been told in the Q&A that these will be poblished",01/20/2022 16:43:17,01/20/2022 16:45:07,Notes are posted right below the recording,01/20/2022 16:43:17,01/20/2022 16:46:13
92,Just to clarify we model PMOS and NMOS the same when doing circuit analysis,I think the source is supposed to have a different orientation when modeling them.,01/20/2022 16:46:23,01/20/2022 16:47:09,"yes. what is the gate/source/drain may be different for NMOS/PMOS (different orientation), but the way to connect gate/source and source/drain is the same for both NMOS and PMOS in RC model.",01/20/2022 16:46:23,01/20/2022 16:47:45
93,Why is the PMOS part on when Vin is 0?,VGS = some larger negative number (think -Vdd except for other elements),01/20/2022 16:49:24,01/20/2022 16:51:20
94,Isnt there a voltage drop across the resistor why is Vx still Vdd?,no current initially -> no voltage drop,01/20/2022 16:49:32,01/20/2022 16:51:45
95,Why does driving from a voltage source cause the capacitors to not affect the outcome/not matter?,Why does driving from a voltage source cause the capacitors to not affect the outcome/not matter?,01/20/2022 16:49:52,01/20/2022 16:49:52,"i think if you look at the notes there’s a derivation which doesn’t make this intuitive leap, and that makes a lot more sense to me personally",01/20/2022 16:49:52,01/20/2022 17:02:07
96,"What is the purpose of Vin, since it is blocked off by capacitors",it charges the capacitors depending on the configuration of NMOS/PMOS,01/20/2022 16:51:51,01/20/2022 16:54:43,"I think Vin isn't really *blocked off,* it still pushes the capacitors, dictating what voltage is across the gate. It's just not doing it directly through a simple wire",01/20/2022 16:51:51,01/20/2022 16:54:46
97,How do we know Vx = Vdd when t < 0,steady state analysis. in long term capacitors charge and get equal voltage to the source,01/20/2022 16:55:17,01/20/2022 16:55:54
98,why can we “ignore” the Vdd again,d/dt V_dd = 0 since V_dd is a constant,01/20/2022 16:58:44,01/20/2022 16:59:20,thank you!,01/20/2022 16:58:44,01/20/2022 16:59:47
99,where did tau come from,"we define tau (the time constant) as fulfilling the equation d/dt V_x(t) = -V_x(t) / tau, and this happens to be it",01/20/2022 16:59:51,01/20/2022 17:00:40
100,Why does the time constant equal this value,"we define tau (the time constant) as fulfilling the equation d/dt V_x(t) = -V_x(t) / tau, and this happens to be it",01/20/2022 16:59:51,01/20/2022 17:00:45
101,so the fact that vx(t) is exponential means that it will never really be 0?,yes,01/20/2022 17:01:27,01/20/2022 17:01:34
102,"Could we have solved this with charge sharing (16a style, charge preservation etc.) instead of Nodal analysis?",,01/20/2022 17:01:44
