Question Report,,,,
#,Question,Answer(s),,
42,what is meant by adding to the steady state solutions? what are the steady state solutions? I thought we’re just solving this once difeq. I thought we’re solving for x(t) that has real part xr and imaginary xi?,"Steady state solutions are those solutions that we come to after a long time t \to \infty. So we are solving for x(t) but we are interested only in the value for very large t, not the initial transient behavior, but what happens after everything settles down.",,
43,Can we please do an example circuit of this?,live answered,,
44,what is a complex conjugate?,a + bj and a-bj are complex conjugates,,
45,"Phi is a constant, omega is what we’re varying in this case correct?","Nvm sorry I j flipped something in my head, t is varying.",I think you answered this!,
46,what des conjugate mean of u tilda?,"if u tilda = a +jb, then the conjugate of u tilda = a - jb. Just an operation on complex numbers",,
47,are the vectors next to the matrix M row vectors?,"No, I don’t think so, unless I’m misunderstanding your question.",,
48,"intuitively, what might M look like for some given circuit?",Answered by prof,,
49,where did I~ and V~ come from?,These are the phasor terms of I and V. Similar to how u ~ came to be,,
50,Which note covers this lecture's content?,,,
51,Is matrix conjugate defined as the conjugate of all the elements?,yes,,
52,"We use the symbol z to symbolize the s-impedances for each circuit element, right?",live answered,,
